model, price, weight, device name, brand, touch screen, announced date, CPU
Dell Thunder,don't know,don't know,Dell Thunder,don't know,don't know,don't know,don't know
Dopod A6288,don't know,don't know,Dopod A6288,don't know,don't know,don't know,don't know
Era G1,don't know,don't know,Era G1,don't know,don't know,don't know,don't know
Facebook ?,don't know,don't know,Facebook ?,don't know,don't know,don't know,don't know
Fly-ying Cool F910,don't know,don't know,Fly-ying Cool F910,don't know,don't know,don't know,don't know
Foxda FC8901,don't know,don't know,Foxda FC8901,don't know,don't know,don't know,don't know
Fujitsu ?,don't know,don't know,Fujitsu ?,don't know,don't know,don't know,don't know
Garmin A10,don't know,don't know,Garmin A10,don't know,don't know,don't know,don't know
Garmin Garminfone,don't know,don't know,Garmin Garminfone,don't know,don't know,don't know,don't know
General Mobile Brava,don't know,don't know,General Mobile Brava,don't know,don't know,don't know,don't know
General Mobile Cosmos,don't know,don't know,General Mobile Cosmos,don't know,don't know,don't know,don't know
General Mobile Cosmos 2,don't know,don't know,General Mobile Cosmos 2,don't know,don't know,don't know,don't know
General Mobile DSTL1 Imaginary,don't know,don't know,General Mobile DSTL1 Imaginary,don't know,don't know,don't know,don't know
General Mobile Touch Stone,don't know,don't know,General Mobile Touch Stone,don't know,don't know,don't know,don't know
Gigabyte G1305,don't know,don't know,Gigabyte G1305,don't know,don't know,don't know,don't know
Gigabyte GSmart,(About 60 EUR),-,Gigabyte GSmart,Gigabyte,don't know,2015  October,528 MHz ARM 11
Gigabyte GSmart Codfish,(About 60 EUR),don't know,Gigabyte GSmart Codfish,don't know,don't know,2015  October,don't know
Gigabyte S1305,don't know,don't know,Gigabyte S1305,don't know,don't know,don't know,don't know
Google Ion,don't know,don't know,Google Ion,don't know,don't know,don't know,don't know
Google Nexus One,don't know,don't know,Google Nexus One,don't know,don't know,don't know,don't know
HTC Desire Z,don't know,180 g (6.35 oz),HTC Desire Z,HTC,Yes,2010  September,800 MHz Scorpion
Europe,don't know,don't know,Europe,don't know,don't know,don't know,don't know
North America,don't know,don't know,North America,don't know,don't know,don't know,don't know
HTC Dream,don't know,158 g (5.57 oz),HTC Dream,HTC,don't know,2009  February. Released 2009  June,528 MHz ARM 11
HTC Droid Eris,don't know,don't know,HTC Droid Eris,don't know,don't know,don't know,don't know
HTC Droid Incredible,(About 270 EUR),130 g (4.59 oz),HTC Droid Incredible,HTC,Yes,2012  May,1.0 GHz Scorpion
HTC Droid Incredible HD,(About 270 EUR),don't know,HTC Droid Incredible HD,don't know,don't know,2012  May,don't know
HTC Emerald,don't know,don't know,HTC Emerald,don't know,don't know,don't know,don't know
HTC EVO 4G (Formerly HTC Supersonic),don't know,don't know,HTC EVO 4G (Formerly HTC Supersonic),don't know,don't know,don't know,don't know
HTC Fiesta,don't know,don't know,HTC Fiesta,don't know,don't know,don't know,don't know
HTC Glacier,don't know,-,HTC Glacier,HTC,Yes,Not officially announced yet,1.0 GHz Scorpion
HTC Halo,don't know,don't know,HTC Halo,don't know,don't know,don't know,don't know
HTC Hero,(About 100 EUR),135 g (4.76 oz),HTC Hero,HTC,Yes,2009  June. Released 2009  July,528 MHz ARM 11
HTC Hero 2,don't know,don't know,HTC Hero 2,don't know,don't know,don't know,don't know
HTC HSPA Android,don't know,don't know,HTC HSPA Android,don't know,don't know,don't know,don't know
HTC Lancaster,don't know,don't know,HTC Lancaster,don't know,don't know,don't know,don't know
HTC Huangshan,don't know,don't know,HTC Huangshan,don't know,don't know,don't know,don't know
HTC Legend,don't know,126 g (4.44 oz),HTC Legend,HTC,Yes,2010  February,600 MHz ARM 11
HTC Liberty,don't know,don't know,HTC Liberty,don't know,don't know,don't know,don't know
HTC Lexicon,don't know,don't know,HTC Lexicon,don't know,don't know,don't know,don't know
HTC Magic,don't know,118.5 g (4.16 oz),HTC Magic,HTC,don't know,2009  February,528 MHz ARM 11
HTC Memphis,don't know,don't know,HTC Memphis,don't know,don't know,don't know,don't know
HTC Merge,don't know,198 g (6.98 oz),HTC Merge,HTC,Yes,2011  February,800 MHz
HTC Paradise,don't know,-,HTC Paradise,HTC,don't know,Not officially announced yet,don't know
HTC Predator,don't know,don't know,HTC Predator,don't know,don't know,don't know,don't know
HTC Salsa,don't know,120 g (4.23 oz),HTC Salsa,HTC,Yes,2011  February,800 MHz ARM 11
HTC Sapphire,don't know,don't know,HTC Sapphire,don't know,don't know,don't know,don't know
HTC Schubert,don't know,-,HTC Schubert,HTC,don't know,Not officially announced yet,1.0 GHz Scorpion
HTC Scorpion,don't know,don't know,HTC Scorpion,don't know,don't know,don't know,don't know
HTC Speedy,don't know,don't know,HTC Speedy,don't know,don't know,don't know,don't know
HTC Tattoo (Formerly HTC Click),don't know,don't know,HTC Tattoo (Formerly HTC Click),don't know,don't know,don't know,don't know
HTC Tianyi,don't know,don't know,HTC Tianyi,don't know,don't know,don't know,don't know
HTC Vanguard,don't know,don't know,HTC Vanguard,don't know,don't know,don't know,don't know
HTC Vision,don't know,don't know,HTC Vision,don't know,don't know,don't know,don't know
HTC Wildfire,(About 100 EUR),118 g (4.16 oz),HTC Wildfire,HTC,Yes,2011  February,528 MHz ARM 11
Huawei CHT8000,don't know,don't know,Huawei CHT8000,don't know,don't know,don't know,don't know
Huawei Movistar IVY,don't know,don't know,Huawei Movistar IVY,don't know,don't know,don't know,don't know
Huawei RBM2 Der Allrounder,don't know,don't know,Huawei RBM2 Der Allrounder,don't know,don't know,don't know,don't know
Huawei U8100,don't know,104 g (3.67 oz),Huawei U8100,Huawei,don't know,2010  February,don't know
Huawei U8110,don't know,110 g (3.88 oz),Huawei U8110,Huawei,don't know,2010  February,don't know
Huawei U8220,don't know,135 g (4.76 oz),Huawei U8220,Huawei,Yes,2009  August. Released 2009  October,don't know
Huawei U8226,don't know,don't know,Huawei U8226,don't know,don't know,don't know,don't know
Huawei U8230,don't know,-,Huawei U8230,Huawei,don't know,2009  June. Released 2009,528 MHz ARM 11
Huawei U8300,don't know,104 g (3.67 oz),Huawei U8300,Huawei,don't know,2010  February,don't know
Huawei U8800,(About 100 EUR),don't know,Huawei U8800,don't know,don't know,2010  December,don't know
i-mobile 8500,don't know,-,i-mobile 8500,i-mobile,don't know,2010,don't know
Innocomm Skate,don't know,don't know,Innocomm Skate,don't know,don't know,don't know,don't know
Innocomm Shark,don't know,don't know,Innocomm Shark,don't know,don't know,don't know,don't know
INQ 1,don't know,don't know,INQ 1,don't know,don't know,don't know,don't know
INQ Chat 3G,don't know,don't know,INQ Chat 3G,don't know,don't know,don't know,don't know
INQ Mini 3G,don't know,don't know,INQ Mini 3G,don't know,don't know,don't know,don't know
Koolu Freerunner,don't know,don't know,Koolu Freerunner,don't know,don't know,don't know,don't know
Kyocera ZIO M6000,don't know,don't know,Kyocera ZIO M6000,don't know,don't know,don't know,don't know
Lenovo LePhone,don't know,don't know,Lenovo LePhone,don't know,don't know,don't know,don't know
Lenovo OPhone,don't know,don't know,Lenovo OPhone,don't know,don't know,don't know,don't know
LG Ally,don't know,don't know,LG Ally,don't know,don't know,don't know,don't know
LG Andro-1,don't know,don't know,LG Andro-1,don't know,don't know,don't know,don't know
LG enV Touch 2,don't know,don't know,LG enV Touch 2,don't know,don't know,don't know,don't know
LG GT540 Optimus,don't know,115.5 g (4.06 oz),LG GT540 Optimus,LG,don't know,2010  January,600 MHz
LG GT540 Swift,don't know,don't know,LG GT540 Swift,don't know,don't know,don't know,don't know
LG GW620 Eve,don't know,don't know,LG GW620 Eve,don't know,don't know,don't know,don't know
LG GW620 Linkme,don't know,don't know,LG GW620 Linkme,don't know,don't know,don't know,don't know
LG GW880 Amundsen,don't know,don't know,LG GW880 Amundsen,don't know,don't know,don't know,don't know
LG GW880 Etna,don't know,don't know,LG GW880 Etna,don't know,don't know,don't know,don't know
LG InTouch Max,don't know,don't know,LG InTouch Max,don't know,don't know,don't know,don't know
LG KH5200,don't know,don't know,LG KH5200,don't know,don't know,don't know,don't know
LG KU9500 Optimus Z,don't know,don't know,LG KU9500 Optimus Z,don't know,don't know,don't know,don't know
LG Loop,don't know,don't know,LG Loop,don't know,don't know,don't know,don't know
LG LU2300 Eclipse,don't know,don't know,LG LU2300 Eclipse,don't know,don't know,don't know,don't know
LG Optimus Chic,don't know,don't know,LG Optimus Chic,don't know,don't know,don't know,don't know
LG Optimus One with Google,don't know,don't know,LG Optimus One with Google,don't know,don't know,don't know,don't know
LG Optimus Q,don't know,don't know,LG Optimus Q,don't know,don't know,2010  October. Released 2010  October,don't know
LG Optimus Z,don't know,135 g (4.76 oz),LG Optimus Z,LG,don't know,2010  October. Released 2010  October,1.0 GHz Scorpion
LG Prada 3,don't know,don't know,LG Prada 3,don't know,don't know,don't know,don't know
LG SU950,don't know,don't know,LG SU950,don't know,don't know,don't know,don't know
LG Vortex,don't know,don't know,LG Vortex,don't know,don't know,don't know,don't know
Lumigon E1,don't know,don't know,Lumigon E1,don't know,don't know,don't know,don't know
Lumigon S1,don't know,don't know,Lumigon S1,don't know,don't know,don't know,don't know
Lumigon T1,don't know,don't know,Lumigon T1,don't know,don't know,don't know,don't know
Meizu M9,don't know,don't know,Meizu M9,don't know,don't know,don't know,don't know
Motorola Backflip MB501 (Formerly Motorola Motus),don't know,don't know,Motorola Backflip MB501 (Formerly Motorola Motus),don't know,don't know,don't know,don't know
Motorola Charm MB502 (Formerly Motorola Basil),don't know,don't know,Motorola Charm MB502 (Formerly Motorola Basil),don't know,don't know,don't know,don't know
Motorola Citus WX445,don't know,don't know,Motorola Citus WX445,don't know,don't know,don't know,don't know
Motorola CLIQ MB200 (Formerly Motorola Morrison),don't know,don't know,Motorola CLIQ MB200 (Formerly Motorola Morrison),don't know,don't know,don't know,don't know
Motorola CLIQ XT MB300 (Formerly Motorola Zeppelin),don't know,don't know,Motorola CLIQ XT MB300 (Formerly Motorola Zeppelin),don't know,don't know,don't know,don't know
Motorola Devour A555 (Formerly Motorola Calgary),don't know,don't know,Motorola Devour A555 (Formerly Motorola Calgary),don't know,don't know,don't know,don't know
Motorola Defy,(About 110 EUR),don't know,Motorola Defy,don't know,don't know,2010  September. Released 2010  October,don't know
Motorola DEXT,don't know,don't know,Motorola DEXT,don't know,don't know,don't know,don't know
